runSeed,testYear,wDE,wCOBYLA
2995172877,2009,"[0.49987259801580797, 0.26979801192051783, 0.20073892911956392, 0.029590460944110383]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
2995172877,2010,"[0.5725811325092424, 0.03684354974046646, 0.32260505920444255, 0.06797025854584864]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
2995172877,2011,"[0.5707414123282145, 0.24241859644827612, 0.18678204117851085, 5.795004499864477e-05]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
2995172877,2012,"[0.5693015677835038, 0.2464220649365091, 0.1795225537638502, 0.004753813516136915]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
2995172877,2013,"[0.5262697884762809, 0.30804616700323945, 0.14938091508237572, 0.016303129438103876]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
2995172877,2014,"[0.5042435862562604, 0.3839184402180101, 0.1117386174371512, 9.935608857828623e-05]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
2995172877,2015,"[0.31150248021014393, 0.24447722239301017, 0.32400889605097777, 0.12001140134586817]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
2995172877,2016,"[0.41936657278217443, 0.2461451316022976, 0.27126947244522104, 0.06321882317030689]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
2995172877,2017,"[0.32473899470568024, 0.37113028611753307, 0.270599413421384, 0.03353130575540284]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
2995172877,2018,"[0.3260532517011881, 0.37630211968640015, 0.26591103404080924, 0.031733594571602304]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
2995172877,2019,"[0.3036133654959396, 0.4107851770691346, 0.2635140988300211, 0.022087358604904843]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
2995172877,2020,"[0.3060796548806781, 0.41604559998894763, 0.2539969935146316, 0.023877751615742803]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
2995172877,2021,"[0.33562867779816424, 0.3579630482242512, 0.2722202261932087, 0.034188047784375876]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
2995172877,2022,"[0.2571107626232026, 0.4586802531633755, 0.23858634621305416, 0.04562263800036768]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
2995172877,2023,"[0.35801859828834875, 0.5171558763824682, 0.09069436300577671, 0.034131162323406385]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
865305066,2007,"[0.43734150752101913, 0.21952777733628984, 0.3417647381369157, 0.0013659770057752457]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
865305066,2008,"[0.6135516944005236, 0.2983410039117092, 0.08748911853906484, 0.0006181831487024629]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
865305066,2009,"[0.5235795306794958, 0.29607026026433614, 0.14756077676389878, 0.032789432292269265]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
865305066,2010,"[0.5522801920518852, 0.11214128171872624, 0.31376687286476357, 0.02181165336462507]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
865305066,2011,"[0.5679174084974977, 0.24323402270557104, 0.18884851106196926, 5.773496193984564e-08]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
865305066,2012,"[0.5679487637193007, 0.24433416568099425, 0.1861371136969006, 0.0015799569028043775]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
865305066,2013,"[0.5290395962026812, 0.3072078887407878, 0.14743931861072015, 0.016313196445810876]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
865305066,2014,"[0.5216506260284383, 0.37479005402110194, 0.1016922636611667, 0.0018670562892930138]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
865305066,2015,"[0.31929942043565174, 0.24375031017496104, 0.31965460573067056, 0.11729566365871671]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
865305066,2016,"[0.43577855713874136, 0.25541031543911463, 0.23833519041440263, 0.07047593700774135]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
865305066,2017,"[0.3147275011021042, 0.36035936195264173, 0.2887708859219949, 0.036142251023259374]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
865305066,2018,"[0.3235981799672897, 0.37030026846335495, 0.2731291838398616, 0.0329723677294936]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
865305066,2019,"[0.278310380170761, 0.40810828546974065, 0.28042741883040584, 0.03315391552909253]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
865305066,2020,"[0.33076994725037484, 0.36548088388635, 0.2687883764735189, 0.03496079238975622]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
865305066,2021,"[0.3350780416635966, 0.3586941544535051, 0.27158753253579604, 0.03464027134710223]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
